YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
2006,FLA KEYS,ATH STIP,16.980765913403484,294.5094884153549,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,CHR ATHE,0.0,0.0,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,HAR HUME,0.0,0.0,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,HAR JAGU,0.0,0.0,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,HEM BRAS,0.24416626154594065,0.030193773013307296,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,HYP HARR,0.0,0.0,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,INE VITT,0.0,0.0,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,JEN SPE.,1.0188459548042093,1.0602341582952775,97,178,748.0,169312.56523767143,1
2006,FLA KEYS,SAR AURI,0.0,0.0,97,178,748.0,169312.56523767143,1
2007,FLA KEYS,ANC LYOL,0.0,0.0,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,ATH STIP,0.0,0.0,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,CHR ATHE,0.02377307227876488,5.764995566615737e-4,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,HAR HUME,0.0,0.0,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,HAR JAGU,0.004754614455752976,2.305998226646295e-5,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,HEM BRAS,0.0,0.0,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,HYP HARR,0.0,0.0,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,INE VITT,0.0,0.0,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,JEN SPE.,0.2491492464754497,0.06200177030448895,75,146,748.0,169312.56523767143,1
2007,FLA KEYS,SAR AURI,0.0,0.0,75,146,748.0,169312.56523767143,1
2008,FLA KEYS,ANC LYOL,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,ATH STIP,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,CHR ATHE,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,HAR HUME,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,HAR JAGU,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,HEM BRAS,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,HYP HARR,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,INE VITT,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,JEN SPE.,0.0,0.0,87,167,748.0,169312.56523767143,1
2008,FLA KEYS,SAR AURI,0.0,0.0,87,167,748.0,169312.56523767143,1
2009,FLA KEYS,ANC LYOL,2.5066844919786098,6.4896502405889285,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,ATH STIP,0.0,0.0,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,CHR ATHE,0.0,0.0,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,HAR HUME,0.0,0.0,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,HAR JAGU,0.0,0.0,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,HEM BRAS,0.10929144385026739,0.0075133220509940885,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,HYP HARR,0.25066844919786097,0.0648965024058893,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,INE VITT,0.0,0.0,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,JEN SPE.,0.0,0.0,110,213,748.0,169312.56523767143,1
2009,FLA KEYS,SAR AURI,0.0,0.0,110,213,748.0,169312.56523767143,1
2010,FLA KEYS,ANC LYOL,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,ATH STIP,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,CHR ATHE,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,HAR HUME,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,HAR JAGU,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,HEM BRAS,0.17129010695187163,0.032227450736035966,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,HYP HARR,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,INE VITT,0.0,0.0,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,JEN SPE.,1.4739304812834226,2.202586349745004,100,194,748.0,169312.56523767143,1
2010,FLA KEYS,SAR AURI,0.0,0.0,100,194,748.0,169312.56523767143,1
2011,FLA KEYS,ANC LYOL,0.0,0.0,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,ATH STIP,3.3381700795617584,10.142215857467226,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,CHR ATHE,0.0,0.0,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,HAR HUME,0.0,0.0,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,HAR JAGU,1.4538770053475936,2.112040958481921,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,HEM BRAS,0.029018559295375904,8.759713833926954e-4,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,HYP HARR,29.577518368766576,680.4240760376235,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,INE VITT,0.0,0.0,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,JEN SPE.,1.9247260988652668,2.188865086130524,90,176,748.0,169312.56523767143,1
2011,FLA KEYS,SAR AURI,0.0,0.0,90,176,748.0,169312.56523767143,1
2012,FLA KEYS,ANC LYOL,3.8992869875222813,15.192923956102772,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,ATH STIP,0.0,0.0,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,CHR ATHE,0.0,0.0,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,HAR HUME,0.0,0.0,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,HAR JAGU,0.0,0.0,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,HEM BRAS,0.07027906610971711,0.0035790635548350056,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,HYP HARR,2.420179301667191,5.476065045224105,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,INE VITT,0.04896779007586121,0.002418951910132904,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,JEN SPE.,0.0,0.0,114,216,748.0,169312.56523767143,1
2012,FLA KEYS,SAR AURI,0.0,0.0,114,216,748.0,169312.56523767143,1
2014,FLA KEYS,ATH STIP,9.755281287752638,95.05589416271764,119,238,2988.0,169086.21154082962,1
2014,FLA KEYS,HAR HUME,0.49770510613884106,0.24753376273257496,119,238,2988.0,169086.21154082962,1
2014,FLA KEYS,HAR JAGU,0.0,0.0,119,238,2988.0,169086.21154082962,1
2014,FLA KEYS,HEM BRAS,0.18479647757697454,0.011241944924207601,119,238,2988.0,169086.21154082962,1
2014,FLA KEYS,INE VITT,0.0,0.0,119,238,2988.0,169086.21154082962,1
2014,FLA KEYS,JEN SPE.,11.54494332342922,84.86130814031566,119,238,2988.0,169086.21154082962,1
2016,FLA KEYS,ATH STIP,5.898594377510039,34.77597306566895,105,202,2988.0,169086.21154082962,1
2016,FLA KEYS,HAR JAGU,82.58032128514056,6722.778832868286,105,202,2988.0,169086.21154082962,1
2016,FLA KEYS,HEM BRAS,0.7943195340283694,0.2980575620602441,105,202,2988.0,169086.21154082962,1
2016,FLA KEYS,INE VITT,0.2901945023495743,0.07839774781973886,105,202,2988.0,169086.21154082962,1
2016,FLA KEYS,JEN SPE.,0.0,0.0,105,202,2988.0,169086.21154082962,1
1994,FLA KEYS,ANC LYOL,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,ATH STIP,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,CHR ATHE,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,HAR HUME,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,HAR JAGU,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,HEM BRAS,0.6823160262861878,0.46562688543902797,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,HYP HARR,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,INE VITT,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,JEN SPE.,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1994,FLA KEYS,SAR AURI,0.0,0.0,10,54,16020.0,3626186.2234057435,all
1995,FLA KEYS,ANC LYOL,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,ATH STIP,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,CHR ATHE,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,HAR HUME,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,HAR JAGU,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,HEM BRAS,0.001361027120413776,1.8541087219078168e-6,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,HYP HARR,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,INE VITT,0.006823160262861879,4.655110082830413e-5,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,JEN SPE.,0.06948186500610869,0.00483219634617824,36,154,16891.0,3823340.2933549574,all
1995,FLA KEYS,SAR AURI,0.0,0.0,36,154,16891.0,3823340.2933549574,all
1996,FLA KEYS,ANC LYOL,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,ATH STIP,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,CHR ATHE,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,HAR HUME,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,HAR JAGU,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,HEM BRAS,0.03948946924397609,0.001558852468414481,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,HYP HARR,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,INE VITT,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,JEN SPE.,0.0,0.0,13,72,16891.0,3823340.293354957,all
1996,FLA KEYS,SAR AURI,0.0,0.0,13,72,16891.0,3823340.293354957,all
1997,FLA KEYS,ANC LYOL,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,ATH STIP,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,CHR ATHE,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,HAR HUME,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,HAR JAGU,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,HEM BRAS,0.24821033883922408,0.04055551435666044,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,HYP HARR,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,INE VITT,0.02151774613699603,2.0529880504762876e-4,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,JEN SPE.,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1997,FLA KEYS,SAR AURI,0.0,0.0,31,194,16891.0,3823340.2933549574,all
1998,FLA KEYS,ANC LYOL,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,ATH STIP,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,CHR ATHE,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,HAR HUME,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,HAR JAGU,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,HEM BRAS,0.009153741416054939,8.378499683166673e-5,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,HYP HARR,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,INE VITT,0.002661240310719354,2.9471810678633794e-6,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,JEN SPE.,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1998,FLA KEYS,SAR AURI,0.0,0.0,75,461,16892.0,3823566.6470517986,all
1999,FLA KEYS,ANC LYOL,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,ATH STIP,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,CHR ATHE,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,HAR HUME,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,HAR JAGU,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,HEM BRAS,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,HYP HARR,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,INE VITT,0.0106913033288642,1.1376591116431676e-4,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,JEN SPE.,0.0,0.0,161,440,16893.0,3823793.000748641,all
1999,FLA KEYS,SAR AURI,0.0,0.0,161,440,16893.0,3823793.000748641,all
2000,FLA KEYS,ANC LYOL,0.38625466169419287,0.0658574619998653,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,ATH STIP,0.002196767892026283,4.823093771063622e-6,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,CHR ATHE,0.0,0.0,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,HAR HUME,0.0,0.0,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,HAR JAGU,0.3523543498102281,0.10965475859674438,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,HEM BRAS,0.0,0.0,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,HYP HARR,0.0,0.0,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,INE VITT,5.179660214289942e-4,2.7985132392061363e-7,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,JEN SPE.,0.0,0.0,228,527,16893.0,3823793.000748641,all
2000,FLA KEYS,SAR AURI,0.0,0.0,228,527,16893.0,3823793.000748641,all
2001,FLA KEYS,ANC LYOL,0.0,0.0,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,ATH STIP,11.932182218145496,31.71396722688837,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,CHR ATHE,0.0,0.0,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,HAR HUME,0.0,0.0,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,HAR JAGU,0.0,0.0,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,HEM BRAS,2.4270407861244305e-4,5.6116223104851534e-8,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,HYP HARR,4.604570265942573,19.079910224074084,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,INE VITT,0.011487785762956077,1.3094929495926198e-4,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,JEN SPE.,7.122032794648671e-4,5.071403834256138e-7,305,742,16893.0,3823793.000748641,all
2001,FLA KEYS,SAR AURI,0.0,0.0,305,742,16893.0,3823793.000748641,all
2002,FLA KEYS,ANC LYOL,8.12842028585147,33.015910616020584,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,ATH STIP,2.9961370826440423,7.2226615554963995,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,CHR ATHE,0.0,0.0,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,HAR HUME,0.0,0.0,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,HAR JAGU,0.0,0.0,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,HEM BRAS,0.012731111505751888,1.6254333629092218e-4,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,HYP HARR,1.9925131711359734,3.035376503591222,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,INE VITT,0.18338654406493157,0.02466548063349063,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,JEN SPE.,3.5485740313213228,6.878351418765734,356,669,16893.0,3823793.000748641,all
2002,FLA KEYS,SAR AURI,0.0,0.0,356,669,16893.0,3823793.000748641,all
2003,FLA KEYS,ANC LYOL,0.0,0.0,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,ATH STIP,19.486395161865136,378.04388240357304,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,CHR ATHE,0.0,0.0,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,HAR HUME,0.0,0.0,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,HAR JAGU,0.0,0.0,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,HEM BRAS,0.12379438055383712,0.005601803124990459,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,HYP HARR,22.815759522962317,209.61216991482493,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,INE VITT,0.3709845959065839,0.05127381056384188,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,JEN SPE.,36.306555766750606,897.184856903825,237,434,16893.0,3823793.000748641,all
2003,FLA KEYS,SAR AURI,2.1122768192560413,4.479506212782582,237,434,16893.0,3823793.000748641,all
2004,FLA KEYS,ANC LYOL,9.985308600119469,99.41084209285727,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,ATH STIP,0.8737145025104535,0.7636998427020696,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,CHR ATHE,0.0,0.0,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,HAR HUME,0.0,0.0,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,HAR JAGU,1.0079073275823411,0.9941828261275942,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,HEM BRAS,0.1385401579878582,0.019184133375075536,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,HYP HARR,100.7123895609511,9939.154582055822,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,INE VITT,0.10008697275612567,0.0026003507087773966,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,JEN SPE.,49.92654300059735,2493.713772088391,127,244,16771.0,3796177.8497339403,all
2004,FLA KEYS,SAR AURI,8.593302945993409e-4,7.383361890009645e-7,127,244,16771.0,3796177.8497339403,all
2005,FLA KEYS,ANC LYOL,0.0,0.0,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,ATH STIP,2.990278682162894,2.6629806158423053,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,CHR ATHE,0.0,0.0,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,HAR HUME,0.0,0.0,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,HAR JAGU,0.0,0.0,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,HEM BRAS,0.21799537283687523,0.017858960600350172,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,HYP HARR,0.0,0.0,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,INE VITT,0.0,0.0,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,JEN SPE.,0.5983198168866788,0.18295537345698742,256,498,16893.0,3823793.000748641,all
2005,FLA KEYS,SAR AURI,0.0,0.0,256,498,16893.0,3823793.000748641,all
2006,FLA KEYS,ANC LYOL,1.6093944237258035e-4,2.71210268356168e-8,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,ATH STIP,0.7518861601388627,0.5774161449979347,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,CHR ATHE,0.0,0.0,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,HAR HUME,0.0,0.0,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,HAR JAGU,0.0,0.0,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,HEM BRAS,0.010811363501827008,5.919799769472419e-5,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,HYP HARR,0.0,0.0,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,INE VITT,1.136706384442133,1.299598702774329,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,JEN SPE.,0.04511316960833176,0.0020786981219925644,328,593,16893.0,3823793.000748641,all
2006,FLA KEYS,SAR AURI,0.0,0.0,328,593,16893.0,3823793.000748641,all
2007,FLA KEYS,ANC LYOL,0.0,0.0,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,ATH STIP,0.02745959865032854,7.560498216902433e-4,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,CHR ATHE,0.0010526406241944078,1.1302866790188919e-6,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,HAR HUME,0.0,0.0,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,HAR JAGU,2.1052812483888156e-4,4.5211467160755683e-8,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,HEM BRAS,0.0,0.0,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,HYP HARR,0.0,0.0,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,INE VITT,0.045905450140932294,0.0021085221071182334,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,JEN SPE.,1.295621888323007,1.0613356760392147,317,614,16893.0,3823793.000748641,all
2007,FLA KEYS,SAR AURI,0.0,0.0,317,614,16893.0,3823793.000748641,all
2008,FLA KEYS,ANC LYOL,0.8614776047161894,0.7430137492530102,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,ATH STIP,0.0,0.0,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,CHR ATHE,0.004307388023580948,1.8575343731325257e-5,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,HAR HUME,0.0,0.0,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,HAR JAGU,0.0,0.0,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,HEM BRAS,0.11210264606641804,0.00529273523386584,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,HYP HARR,0.0,0.0,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,INE VITT,0.30900591103041825,0.08097931220163546,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,JEN SPE.,0.0,0.0,376,735,16893.0,3823793.000748641,all
2008,FLA KEYS,SAR AURI,0.0,0.0,376,735,16893.0,3823793.000748641,all
2009,FLA KEYS,ANC LYOL,0.9874950148142078,0.7275974451786853,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,ATH STIP,0.5397751170681098,0.16974296037180045,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,CHR ATHE,0.0,0.0,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,HAR HUME,0.051919927386096805,0.0027035899988771413,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,HAR JAGU,0.06489990923262101,0.004224359373245533,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,HEM BRAS,0.10838990856491058,0.008240359566965089,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,HYP HARR,2.349686650029442,3.9833870355816283,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,INE VITT,0.0,0.0,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,JEN SPE.,1.02259249270395,0.3594537399766422,516,1005,16893.0,3823793.000748641,all
2009,FLA KEYS,SAR AURI,0.004224553638512083,1.7851393681471617e-5,516,1005,16893.0,3823793.000748641,all
2010,FLA KEYS,ANC LYOL,0.0,0.0,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,ATH STIP,0.0,0.0,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,CHR ATHE,0.0,0.0,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,HAR HUME,0.0,0.0,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,HAR JAGU,0.17003159592730716,0.028907297441505626,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,HEM BRAS,0.03437435479842278,7.814227939276867e-4,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,HYP HARR,0.08231322094236135,0.006793737298934898,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,INE VITT,0.0,0.0,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,JEN SPE.,2.355732896218055,1.646342214860259,379,740,16893.0,3823793.000748641,all
2010,FLA KEYS,SAR AURI,0.0,0.0,379,740,16893.0,3823793.000748641,all
2011,FLA KEYS,ANC LYOL,0.0037421985561321867,7.012142638946724e-6,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,ATH STIP,0.5522913232558102,0.16819134046160694,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,CHR ATHE,0.0,0.0,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,HAR HUME,0.0,0.0,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,HAR JAGU,0.06437577694903214,0.00414087354158329,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,HEM BRAS,0.0012849039455952868,1.7174319987061825e-6,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,HYP HARR,2.8720085871402956,2.3520539443200428,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,INE VITT,0.5384189297725666,0.21072276863801145,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,JEN SPE.,12.157123477693585,54.87041723936955,402,789,16893.0,3823793.000748641,all
2011,FLA KEYS,SAR AURI,0.007274920860429652,5.3014691721082795e-5,402,789,16893.0,3823793.000748641,all
2012,FLA KEYS,ANC LYOL,0.1726553404763314,0.029787290145325763,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,ATH STIP,1.8992087452396453,3.60649717610196,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,CHR ATHE,0.0,0.0,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,HAR HUME,0.0,0.0,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,HAR JAGU,0.0,0.0,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,HEM BRAS,0.290156125869469,0.025356782265611544,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,HYP HARR,0.10716238191245242,0.010736388783888114,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,INE VITT,0.33966616032704106,0.08855481475709029,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,JEN SPE.,4.141034544391573,8.250432046803084,416,803,16893.0,3823793.000748641,all
2012,FLA KEYS,SAR AURI,0.0,0.0,416,803,16893.0,3823793.000748641,all
2014,FLA KEYS,ATH STIP,0.4314375016696498,0.18592390964461303,432,860,67562.0,3823227.1165065365,all
2014,FLA KEYS,HAR HUME,0.82440678826221,0.6442383660356054,432,860,67562.0,3823227.1165065365,all
2014,FLA KEYS,HAR JAGU,0.0020594972025694915,4.241145483213871e-6,432,860,67562.0,3823227.1165065365,all
2014,FLA KEYS,HEM BRAS,0.07320544382282188,0.0021312443504078855,432,860,67562.0,3823227.1165065365,all
2014,FLA KEYS,INE VITT,0.31735044564062254,0.09048042829249633,432,860,67562.0,3823227.1165065365,all
2014,FLA KEYS,JEN SPE.,0.5876012619054811,0.17191429494401858,432,860,67562.0,3823227.1165065365,all
2016,FLA KEYS,ATH STIP,0.2608714958112548,0.06801982066463871,405,797,67562.0,3823227.1165065365,all
2016,FLA KEYS,HAR JAGU,3.734170979270781,13.156090132358697,405,797,67562.0,3823227.1165065365,all
2016,FLA KEYS,HEM BRAS,0.10782248293790725,0.0047966489366238095,405,797,67562.0,3823227.1165065365,all
2016,FLA KEYS,INE VITT,0.07696582506415267,0.0033826321591207626,405,797,67562.0,3823227.1165065365,all
